"Mazda RX4";6;4;1146;130;102
"Mazda RX4 Wag";6;4;1308;113;123
"Datsun 1000";4;4;247;61;135
"Halladay G 10";4;3;814,5;107;256
"Holden Efijy";8;3;745,88;645;283
"Victoria Spatz";1;5;245;14;60
"Dacia 1310 Break";4;4;322,25;56;140
"Mercedes 230SL";6;4;384,67;150;200
"Mercedes C112";12;6;498,92;408;250
"Mercedes 300CE";6;5;493,67;220;232
"Mercedes 190E";4;5;616;195;235
"BMW M5";6;6;632,5;340;267
"BMW 3.3 Li";6;4;535;200;208
"BMW M1";6;5;575,5;277;262
"Cadillac Fleetwood";8;3;677,75;162;197
"Lincoln Continental MK 4";8;3;942;228;214
"Chrysler Newport";8;3;737,75;269;243
"Fiat 128";4;4;279;56;140
"Honda Civic 1.5";4;5;372;101;152
"Toyota Corona MK 2";4;3;442,5;95;165
"Toyota Chellica XX 2600S";6;5;427,17;140;180
"Dodge Charger Shelby";4;3;553,25;148;195
"Dodge Aspen";8;3;651,25;157;215
"Citröen BX4 TC";4;5;535,35;200;220
"Pontiac GTO";8;4;795,25;330;196
"Fiat Panda 45";4;5;225,75;47;140
"Porsche Tapiro";6;6;400;223;264
"Porsche 911 Carrera 2.7";6;5;447,83;210;240
"Ford Thunderbird";8;3;720,75;304;217
"Ford Mustang Fastback";6;3;545,83;122;187
"Ferrari 365 GTC/4";12;5;365,83;345;262
"Ferrari Dino 208";8;5;248,88;170;217
